"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legislation_type","Geography","Geography_type","Number of stop and searches","Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported)","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","23","4,628","2,253","10.21","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","18","2,530","2,253","7.99","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","31","1,894","2,253","13.76","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","11","1,175","2,253","4.88","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Suffolk","Police Force Area","11","1735","2253","4.88","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Suffolk","Police Force Area","15","2899","2253","6.66","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","41","13,970","3,400","12.06","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","71","18,016","3,400","20.88","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","52","17,079","3,400","15.29","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","65","13,672","3,400","19.12","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","84","13,478","3,400","24.71","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","72","15,863","3,400","21.18","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","94","18,140","3,400","27.65","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","73","14,399","3,400","21.47","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","61","10,029","3,400","17.94","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","51","5,738","3,400","15","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","38","3,980","3,400","11.18","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","32","4,561","3,400","9.41","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Surrey","Police Force Area","28","5221","3400","8.24","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Surrey","Police Force Area","40","5086","3400","11.76","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","52","14,988","4,755","10.94","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","106","25,703","4,755","22.29","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","48","18,311","4,755","10.09","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","59","18,289","4,755","12.41","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","66","20,745","4,755","13.88","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","59","26,625","4,755","12.41","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","54","23,451","4,755","11.36","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","28","16,444","4,755","5.89","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","29","11,396","4,755","6.1","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","20","7,660","4,755","4.21","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","27","6,059","4,755","5.68","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","18","4,856","4,755","3.79","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Sussex","Police Force Area","20","5765","4755","4.21","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Sussex","Police Force Area","19","7282","4755","4","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","129","25,880","7,787","16.57","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","303","25,330","7,787","38.91","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","341","27,330","7,787","43.79","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","411","39,733","7,787","52.78","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","461","40,215","7,787","59.2","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","241","23,604","7,787","30.95","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","195","21,472","7,787","25.04","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","117","20,760","7,787","15.03","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","90","16,476","7,787","11.56","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","36","10,464","7,787","4.62","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","47","8,208","7,787","6.04","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","32","5,466","7,787","4.11","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Bangladeshi","ONS 2001 16+1","All","Thames Valley","Police Force Area","42","6577","7787","5.39","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Bangladeshi","ONS 2011 18+1","All","Thames Valley","Police Force Area","58","10092","7787","7.45","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","9","5,020","284","31.69","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","18","3,821","284","63.38","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","8","5,586","284","28.17","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","15","7,974","284","52.82","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","9","5,086","284","31.69","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","5","4,063","284","17.61","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","8","5,639","284","28.17","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","0","4,783","284","-","0",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","6","3,054","284","21.13","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","All","Warwickshire","Police Force Area","12","3,235","284","42.25","0.4",""
